,Columns,n,type,mean,std,min,25%,50%,75%,max,value 0,value 1,value 2,value 3,value 4,freq 0,freq 1,freq 2,freq 3,freq 4,freqNull,freqOther
10,notes,4982,object,,,,,,,,We offer complimentary upgrades to our regular loyal guests,This apartment is cleaned and maintained with green products and has down alternative bedding.,"All of our rentals are fully licensed and regulated, and maintaining excellent relationships with our building managers is our top priority. We furnish all of our properties to a uniform standard, but individual units may differ slightly from the pictures shown.",This apartment is cleaned and maintained with green products.,Parking Private parking is available on site (reservation is needed) and costs USD 20 per day. Pets Pets are allowed. Subject to pet fee of USD 100 for pets not more than 20 lbs.  Please refer to our House Rules. Thanks!,144.0,75.0,44.0,40.0,27.0,3713.0,4652.0
11,transit,6000,object,,,,,,,,"Car sharing services such as Uber and Lyft are also readily available as are on demand car rental services such as car2go and BMW Reach Now. Seattle is also known for having a large number of bike sharing services such as Lime Bike, ofo and Spin. Metro bus route #40 right in front on Westlake and the Seattle Streetcar is nearby.","Bus route (Phone number hidden by Airbnb) are a block away. On demand car sharing from Uber and Lyft. Numerous bike sharing options: Lime, Ofo, Spin","It's a short walk to Broadway and just a bit longer to downtown. 15th Ave, 3 blocks away, has many trendy cafes and restaurants.  Seattle has some of the best restaurants in the country.   You will find these restaurants within 2 miles and often several blocks. There is a Pronto bike share 100 yards away. There is a bus stop for downtown 300 yards away. The light rail station is opening march 2016 and you can take the subway north to UW medical center and UW campus or south to downtown or airport.","BY BUS:  We are a quick walk from major bus lines that will take you downtown, north towards the University of Washington and Fremont (48), and south towards Tacoma. A few minutes¡¯ bus ride will take you to the Montlake-Lake Washington stop, a major hub for buses heading east towards Bellevue and Redmond and West towards South Lake Union.  BY CAR:  We are a few minutes from from the I5 and 520 expressways, which makes it easy to get to different areas of Seattle quickly. Because of our proximity to Broadway¡¯s hub of nightlife and shopping, a Lyft or Uber is usually only minutes away. If you¡¯re new to either ride-share program, we have promotional codes posted on our front wall! BY BIKE: LimeBike is a bike-sharing program that you rent using an app on your phone. Look for the bright green bikes around the city! If you have your own bike, we have bike racks, a repair kit, and a pump available for use in our garage. You can also rent or purchase a bike at the Montlake Bicycle Shop, just a","The Lite Rail runs 3 minutes trips to downtown from 3 blocks away every 6 to 15 minutes for very cheap rates. Bus lines run on every major street. Uber and Lyft cover all of Seattle. Taxis are always running on broadway/pine/pike/downtown. ""ORCA"" Cards can be loaded with cash for quick bus payment via online or at a train station. Busses also accept cash and change. Should you decide to walk, it takes five to ten minutes to get to most any restaurant or bar in the neighborhood, 20 minutes to get downtown or to the convention center, 20 minutes to the Pike Place Market, and about 30 minutes to get to Lake Union, should you want to go sailing.",37.0,33.0,26.0,24.0,20.0,2695.0,5860.0
12,access,6035,object,,,,,,,,Two 24-hour fitness and yoga centers Heated swimming pool Three hot tubs and two saunas Basketball court,"Guests will have access to the entire apartment, rooftop patio and grill area, bowling alley, community lounge, gym, and digital concierge during their stay.","Guests will have access to the entire apartment, rooftop patio and grill area, community lounge with billiards table, extremely well equipped fitness facility and digital concierge during their stay.",We offer coworking spaces and fast WiFi.,"Guests have access to all areas of the house except private rooms and housemate refrigerators.  At the moment, the pool is closed for renovation.",75.0,48.0,39.0,27.0,25.0,2660.0,5821.0
13,interaction,6167,object,,,,,,,,"We are available to assist you with absolutely anything you need 10 AM through Midnight, 7 days a week by SMS text messaging, email or phone","All Domicile apartments offer our guests a digital concierge service. Addison, your Domicile host, is there to support you through the entirety of your reservation including: Offering recommendations and making reservations for restaurants/activities Answering questions or requests related to your stay Taking future booking request Ensuring 5-star worthy service All though the convenience of text messaging.","All Domicile apartments offer our guests a digital concierge service. Addison, your Domicile host, is there to support you through the entirety of your reservation including: 1. Offering recommendations and making reservations for restaurants/activities 2. Answering questions or requests related to your stay 3. Taking future booking requests","We believe in personal space. Prior to your arrival, your unit will be professionally cleaned and your self guided check in process ensures easy arrival with no long lines. Should you need us, we¡¯re here 24/7 with our guest services team and local folks on the ground. And if you don¡¯t need us, we¡¯ll stay out of your way. After all, this is your place in the city.","I am not permanently residing on the property.  Once a day, a housekeeper will be present. I am always reachable by message or phone, and within a close distance should an emergency arise.",144.0,48.0,38.0,38.0,37.0,2528.0,5862.0
14,house_rules,6623,object,,,,,,,,"- You agree to the following: -  - CHECK-IN: is on or after 5 PM unless otherwise agreed to in writing as our cleaning staff needs sufficient time to prepare. Arriving onsite earlier without approval is trespassing  - KEYS: to return any access keys and remotes with a $50 replacement fee for every lost key and $250 for any remote or entry FOB - BUILDING STAFF/NEIGHBORS: you understand that building staff DO NOT work for us and will not assist you. Do not bother them. We typically host guests staying 30+ nights who tend to be familiar with the premises. If you happen to be an exception, do not share reservation details or engage in any activity that will disturb the tranquility of this residential community. Contact me or my team for ALL questions or directions. We pick-up phones until midnight and are eager to help you  - QUIET HOURS/DISTURBANCE: between 9 PM and 9 AM. No parties, drug use, or gatherings of any kind. Any additional occupants in excess of the # on your reservation must ","1. Guest(s) agree to NO PARTIES anywhere on the property. 2. Smoking of any kind is not permitted in the unit or on the premises. 3. Guests agree to abide by maximum occupancy of unit, and observe quiet hours between 9pm and 9am. 4. Guests are responsible for action of ALL GUESTS occupying their unit at all times. 5. Guests agree to return all keys, remotes, and parking passes. 6. Guests understand that onsite building staff (maintenance and concierge) are not affiliated with Stay Alfred or Airbnb. Please contact Stay Alfred directly for any needed items. 7. Guests understand that no pets are to be in the unit unless previously arranged. 8. Guests agree to pay replacement cost for any unreturned items, and $125 per hour fee for unauthorized early check in or late check out. 9.Guests are responsible for all contents in unit from checkin until checkout. 10.Any illegal activity or violation of the above terms may result in immediate expulsion from property, and will be reported to Airbnb ","1. Guest(s) agree to NO PARTIES anywhere on the property. 2. Smoking of any kind is not permitted in the unit or on the premises. 3. Guests agree to abide by maximum occupancy of unit, and observe quiet hours between 9pm and 9am. 4. Guests are responsible for action of ALL GUESTS occupying their unit at all times. 5. Guests agree to return all keys and remotes. 6. Guests understand that onsite building staff (maintenance and concierge) are not affiliated with Stay Alfred or Airbnb. Please contact Stay Alfred directly for any needed items. 7. Guests understand that no pets are to be in the unit unless previously arranged. 8. Guests agree to pay replacement cost for any unreturned items, and $125 per hour fee for unauthorized early check in or late check out. 9.Guests are responsible for all contents in unit from checkin until checkout. 10.Any illegal activity or violation of the above terms may result in immediate expulsion from property, and will be reported to Airbnb and local law enf",No smoking Not suitable for pets No parties or events Check in is anytime after 4PM PLEASE NOTE: ? Your cleaning fee includes a Property Protection Fee that protects renters up to $2000 in any accidental damage. ? Minimum stay requirements vary according to date. Inquire with the manager. ? Must be 21 years old to book.,"OUR HOUSE RULES:  - 1) Due to previous problems (and we¡¯re sure this doesn¡¯t relate to you¡­) we¡¯ve needed to implement a minimum age requirement of 21+. Guests under the age of 21  are still entirely welcome ¨C they will just need to be accompanied by parents or guardians. - 2) The easiest way to disrupt an enjoyable stay is a plumbing problem. To prevent this, we kindly ask you to please place things like sanity napkins in the sanitary bin we¡¯ve provided in the bathroom. We simply want to ensure you have a royal flush kind of holiday  - 3) If you¡¯re coming to the city to party you¡¯ve picked a great city to do so. Unfortunately, just not at our place. Though we¡¯re sure it won¡¯t come to it, serious complaints of unruly behavior will unfortunately result in you being asked to leave. Not good for you. Not good for us. - 4) Check-in is at 3pm, and check-out is by 11am. Arriving slightly earlier, or want that extra hour to sleep? Should be fine, but please check with us first. - 5) Normal ch",296.0,66.0,64.0,54.0,45.0,2072.0,6098.0
15,thumbnail_url,0,float64,,,,,,,,,,,,,,,,,,8695.0,0.0
16,medium_url,0,float64,,,,,,,,,,,,,,,,,,8695.0,0.0
17,picture_url,8695,object,,,,,,,,https://a0.muscache.com/im/pictures/f9ab0486-ab55-4753-bafc-e30c75a78837.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/4c290277-2f5a-48c2-9f6b-ae9551cb0438.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/471fdcac-20aa-4866-a3bf-bfd1439810d5.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/3c017d53-dff4-4b94-a179-3112d49b5448.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/c80fff5a-1af7-4ebf-8f68-c84aeeba7970.jpg?aki_policy=large,13.0,11.0,6.0,4.0,3.0,0.0,8658.0
18,xl_picture_url,0,float64,,,,,,,,,,,,,,,,,,8695.0,0.0
19,host_id,8695,int64,48249483.87671075,55074061.67805631,20.0,7940700.0,25855677.0,71227366.0,219560469.0,8534462,50550045,82961680,26967583,114353388,334.0,132.0,118.0,98.0,67.0,0.0,7946.0
20,host_url,8695,object,,,,,,,,https://www.airbnb.com/users/show/8534462,https://www.airbnb.com/users/show/50550045,https://www.airbnb.com/users/show/82961680,https://www.airbnb.com/users/show/26967583,https://www.airbnb.com/users/show/114353388,334.0,132.0,118.0,98.0,67.0,0.0,7946.0
21,host_name,8695,object,,,,,,,,Nadia,Lilly & Mackenzie,Stay Alfred,Addison,Dario,337.0,132.0,131.0,118.0,100.0,0.0,7877.0
22,host_since,8695,object,,,,,,,,2013-08-30,2015-12-04,2016-07-11,2015-01-30,2018-08-03,338.0,133.0,122.0,99.0,74.0,0.0,7929.0
23,host_location,8672,object,,,,,,,,"Seattle, Washington, United States",US,"Spokane, Washington, United States","Los Angeles, California, United States","Bellevue, Washington, United States",7041.0,678.0,133.0,54.0,52.0,23.0,714.0
24,host_about,6311,object,,,,,,,,It would be my pleasure to share and explore this wonderful city with you!," We have been delighted to host guests since April 2013. We furnish and equip each of our corporate suites as if we were going to live there ourselves - we are confident you will find everything you need to ""live like a local"". We enjoy hosting so much that we have now added multiple properties throughout downtown Seattle for corporate travel and vacation stays. If the property you are viewing is not available for the dates you need, please check our other properties. We look forward to welcoming you to Seattle.

Mackenzie's list of countries traveled include- Germany, France, Italy, Netherlands, Spain, New Zealand, Australia, Singapore, Thailand, Malaysia, Vietnam, Japan, Canada, and Mexico.

Lilly's include- China, Cuba, Canada, Slovakia, Poland, Czech Republic, Germany, France, Italy, Spain, Austria, Brazil, Ecuador, Chile, Costa Rica, Guatemala, Honduras, M¨¦xico, Belize, Thailand, Japan, Vietnam, Singapore, & Laos.",I am an experienced Domicile hostess and I have a passion for providing 5-star service to all of my guests. Let me help you with your Seattle rental needs or check us out at bookdomicile!,"Welcome, my name is Dario.

I was born in Sicily and I moved to Seattle eight years ago. I am an Italian teacher and the director of Boys Tribe Project, an after school program to help boys develop emotional intelligence, learn how to play rough without hurting each other, and be creative with imaginative play and storytelling.

I love to cook Italian homemade food, traveling, personal growth, psychology, jazz and blues, foreign movies, interior design, modern dance, storytelling, art, and culture in general. I love hosting people, I used to host couch surfers and I also was traveling for a few years. The thing I like the most is to hear and to share stories from people all over the world.","Stay Alfred was created based on the idea of offering short term rentals at an unbelievable price while making the booking process easy and problem free. Stay Alfred acquires properties in high-end buildings and condominiums in the best locations to ensure your stay is satisfying and you want to come back. Since we value your return business, we always offer discounts to those who stay in any of our units time after time. We want you to feel at home when you stay with us and that¡¯s why you will always be greeted with a professionally cleaned unit and quality furnishings. We welcome feedback in any kind of way to ensure we are meeting the needs of everyone!

best,
Jordan Allen
Owner

We cater to:

Urban Vacations
Family Travel
Corporate Housing
Extended stay In Denver, Seattle, and Portland
Insurance and Job Relocation
Events and Weddings 
Military Training and PCS
Government Workers
Pet Friendly Vacationers",334.0,132.0,118.0,98.0,64.0,2384.0,5565.0
25,host_response_time,5355,object,,,,,,,,within an hour,within a few hours,within a day,a few days or more,,4427.0,622.0,279.0,27.0,,3340.0,0.0
26,host_response_rate,5355,object,,,,,,,,100%,99%,90%,94%,96%,4405.0,434.0,109.0,54.0,50.0,3340.0,303.0
27,host_acceptance_rate,0,float64,,,,,,,,,,,,,,,,,,8695.0,0.0
28,host_is_superhost,8695,object,,,,,,,,f,t,,,,5426.0,3269.0,,,,0.0,0.0
29,host_thumbnail_url,8695,object,,,,,,,,https://a0.muscache.com/im/pictures/41762eb4-7473-4bc2-bb73-5f5f31754a43.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/92812935-2c2e-46a5-a354-a485bb49edee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/abbe1616-2a5e-4297-be49-bfff8e87c964.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/26967583/profile_pic/1427823555/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8f1244fa-80ae-4287-985e-7f4e3120c3f2.jpg?aki_policy=profile_small,334.0,132.0,118.0,98.0,67.0,0.0,7946.0
30,host_picture_url,8695,object,,,,,,,,https://a0.muscache.com/im/pictures/41762eb4-7473-4bc2-bb73-5f5f31754a43.jpg?aki_policy=profile_x_medium,https://a0.muscache.com/im/pictures/92812935-2c2e-46a5-a354-a485bb49edee.jpg?aki_policy=profile_x_medium,https://a0.muscache.com/im/pictures/abbe1616-2a5e-4297-be49-bfff8e87c964.jpg?aki_policy=profile_x_medium,https://a0.muscache.com/im/users/26967583/profile_pic/1427823555/original.jpg?aki_policy=profile_x_medium,https://a0.muscache.com/im/pictures/user/4587b5c1-3fbe-4ccb-bf50-62ae279162a7.jpg?aki_policy=profile_x_medium,334.0,132.0,118.0,98.0,67.0,0.0,7946.0
31,host_neighbourhood,7649,object,,,,,,,,Belltown,Capitol Hill,Ballard,Queen Anne,Minor,674.0,659.0,415.0,373.0,371.0,1046.0,5157.0
32,host_listings_count,8695,int64,51.42081656124209,176.894608355286,0.0,1.0,2.0,6.0,1308.0,1,2,3,492,4,4056.0,1312.0,555.0,334.0,317.0,0.0,2121.0
33,host_total_listings_count,8695,int64,51.42081656124209,176.894608355286,0.0,1.0,2.0,6.0,1308.0,1,2,3,492,4,4056.0,1312.0,555.0,334.0,317.0,0.0,2121.0
34,host_verifications,8695,object,,,,,,,,"['email', 'phone', 'reviews', 'kba']","['email', 'phone', 'reviews']","['email', 'phone', 'reviews', 'jumio', 'government_id']","['email', 'phone']","['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",1179.0,716.0,579.0,506.0,491.0,0.0,5224.0
35,host_has_profile_pic,8695,object,,,,,,,,t,f,,,,8683.0,12.0,,,,0.0,0.0
36,host_identity_verified,8695,object,,,,,,,,t,f,,,,4556.0,4139.0,,,,0.0,0.0
37,street,8695,object,,,,,,,,"Seattle, WA, United States","Seattle, United States","Shoreline, WA, United States","Seattle , WA, United States","Lake Forest Park, WA, United States",8610.0,68.0,2.0,2.0,2.0,0.0,11.0
38,neighbourhood,8258,object,,,,,,,,Capitol Hill,Belltown,Ballard,Minor,Queen Anne,637.0,504.0,481.0,436.0,424.0,437.0,5776.0
39,neighbourhood_cleansed,8695,object,,,,,,,,Broadway,Belltown,First Hill,Wallingford,Minor,641.0,542.0,323.0,314.0,304.0,0.0,6571.0
40,neighbourhood_group_cleansed,8695,object,,,,,,,,Other neighborhoods,Downtown,Capitol Hill,Central Area,Queen Anne,1608.0,1505.0,1016.0,773.0,632.0,0.0,3161.0
41,city,8695,object,,,,,,,,Seattle,Seattle ,Shoreline,Lake Forest Park,seattle,8679.0,3.0,2.0,2.0,1.0,0.0,8.0
42,state,8627,object,,,,,,,,WA,Wa,DC,,,8625.0,1.0,1.0,,,68.0,0.0
43,zipcode,8622,float64,98116.50498724193,17.43100234895594,98052.0,98104.0,98115.0,98122.0,98199.0,98122.0,98103.0,98101.0,98109.0,98102.0,925.0,792.0,639.0,525.0,521.0,73.0,5220.0
44,market,8675,object,,,,,,,,Seattle,Other (International),Other (Domestic),Los Angeles,"East Bay, CA",8669.0,2.0,2.0,1.0,1.0,20.0,0.0
45,smart_location,8695,object,,,,,,,,"Seattle, WA",Seattle,"Lake Forest Park, WA","Shoreline, WA","Seattle , WA",8610.0,67.0,2.0,2.0,2.0,0.0,12.0
46,country_code,8695,object,,,,,,,,US,,,,,8695.0,,,,,0.0,0.0
47,country,8695,object,,,,,,,,United States,,,,,8695.0,,,,,0.0,0.0
48,latitude,8695,float64,47.626199092016684,0.04559007584751486,47.49603715411337,47.60621779627364,47.62124200930772,47.66105533817502,47.73596973624843,47.62330200022571,47.64266228040768,47.67265942156945,47.628664018479576,47.61025728362334,1.0,1.0,1.0,1.0,1.0,0.0,8690.0
49,longitude,8695,float64,-122.33350332210696,0.031503246690213406,-122.4196373618374,-122.3538882198681,-122.33192870868506,-122.31191092159511,-122.24120916789656,-122.33022622207292,-122.33416618788216,-122.30266258273876,-122.311619262288,-122.32453486689596,1.0,1.0,1.0,1.0,1.0,0.0,8690.0
50,is_location_exact,8695,object,,,,,,,,t,f,,,,7396.0,1299.0,,,,0.0,0.0
51,property_type,8695,object,,,,,,,,Apartment,House,Townhouse,Guest suite,Condominium,3067.0,2944.0,705.0,654.0,473.0,0.0,852.0
52,room_type,8695,object,,,,,,,,Entire home/apt,Private room,Shared room,,,6444.0,2082.0,169.0,,,0.0,0.0
53,accommodates,8695,int64,3.623001725129385,2.246439804170701,1.0,2.0,3.0,4.0,28.0,2,4,3,6,5,3245.0,1769.0,1124.0,827.0,544.0,0.0,1186.0
54,bathrooms,8691,float64,1.3019790587964561,0.6338827653485246,0.0,1.0,1.0,1.5,8.0,1.0,2.0,1.5,2.5,3.0,6470.0,976.0,479.0,312.0,185.0,4.0,269.0
55,bedrooms,8694,float64,1.3815274902231425,1.002325222296397,0.0,1.0,1.0,2.0,10.0,1.0,2.0,0.0,3.0,4.0,4989.0,1662.0,986.0,694.0,252.0,1.0,111.0
56,beds,8693,float64,1.8759921776141724,1.3526031032878267,0.0,1.0,1.0,2.0,20.0,1.0,2.0,3.0,4.0,5.0,4521.0,2189.0,1005.0,459.0,222.0,2.0,297.0
57,bed_type,8695,object,,,,,,,,Real Bed,Futon,Pull-out Sofa,Airbed,Couch,8546.0,70.0,44.0,26.0,9.0,0.0,0.0
58,amenities,8695,object,,,,,,,,"{TV,Wifi,Kitchen,""Pets allowed"",""Hair dryer"",Iron,Microwave,""Coffee maker"",Refrigerator,Oven,""Host greets you""}","{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad,""Building staff"",""Private living room""}","{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}","{TV,Internet,Wifi,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad}","{TV,Internet,Wifi,Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad,""Private living room""}",48.0,41.0,39.0,37.0,35.0,0.0,8495.0
59,square_feet,366,float64,748.1366120218579,503.59770084833144,0.0,600.0,600.0,1000.0,8000.0,600.0,1000.0,500.0,1200.0,400.0,163.0,70.0,29.0,9.0,9.0,8329.0,86.0
60,price,8695,object,,,,,,,,$100.00,$150.00,$99.00,$75.00,$125.00,367.0,362.0,269.0,238.0,234.0,0.0,7225.0
61,weekly_price,1234,object,,,,,,,,$600.00,$500.00,$450.00,"$1,000.00",$250.00,56.0,53.0,51.0,51.0,39.0,7461.0,984.0
62,monthly_price,964,object,,,,,,,,"$2,500.00","$3,000.00","$1,600.00","$3,500.00","$2,000.00",41.0,40.0,34.0,29.0,27.0,7731.0,793.0
63,security_deposit,6537,object,,,,,,,,$0.00,$300.00,$100.00,$500.00,$200.00,1852.0,845.0,751.0,706.0,654.0,2158.0,1729.0
64,cleaning_fee,7675,object,,,,,,,,$50.00,$75.00,$25.00,$100.00,$30.00,760.0,590.0,409.0,406.0,390.0,1020.0,5120.0
65,guests_included,8695,int64,1.9874640598044853,1.6485430609759593,1.0,1.0,1.0,2.0,16.0,1,2,4,6,3,4677.0,2436.0,782.0,309.0,218.0,0.0,273.0
